Y,X,Datum-Aufs,VSG,Recorderty,NUTART,ID_PLACE
"51.062497800000003,8.897698099999999,""09.03.2026"",Altes Feld bei Dainrode,TrackIT,Gruenland,490346"
50.807356900000002,8.908287600000000,26.02.2026,Amöneburger Becken,TrackIT,Gruenland,483689
50.015459200000002,9.022248500000000,10.03.2026,Bong'sche Kiesgrube und Mainflinger Mainufer,TrackIT,Mischwald,433648
"51.030008500000001,9.274523900000000,""05.03.2026"",Borkener See,TrackIT,Gruenland,489754"
50.938261500000003,8.861112700000000,23.02.2026,Burgwald,TrackIT,Mischwald,30693
"51.071925399999998,8.808325200000002,""09.03.2026"",Ederaue,TrackIT,Sonstiges,490479"
"51.178491100000002,8.896324099999999,""03.03.2026"",Ederseeufer bei Herzhausen,TrackIT,Mischwald,548357"
50.001648600000003,9.029377999999999,12.03.2026,Ehemalige Tongrube von Mainhausen,TrackIT,Sonstiges,433645
"50.472531300000000,8.482352400000000,""03.03.2026"",Feldflur bei Hüttenberg und Schöffengrund,TrackIT,Gruenland,482238"
"50.374710000000000,8.163090000000000,""01.04.2026"",Feldflur bei Limburg,TrackIT,Acker,482477"
"51.245052299999998,10.041914800000001,""02.03.2026"",Felsklippen im Werra-Meißner-Kreis,TrackIT,Laubwald,577116"
50.189205299999998,9.222239399999999,31.03.2026,Felswände bei Büdingen und Gelnhausen,TrackIT,Siedlung,552945
49.794449999999998,9.003760000000000,17.04.2026,Felswände des nördlichen Odenwaldes,TrackIT,Mischwald,433458
49.631268100000000,8.690398399999999,24.03.2026,Felswände des Vorderen Odenwaldes,TrackIT,Laubwald,52960
51.279317700000000,9.491241199999999,26.03.2026,Fuldaaue um Kassel,TrackIT,Siedlung,620388
"50.932845800000003,9.787799600000000,""01.04.2026"",Fuldatal zwischen Rotenburg und Niederaula,TrackIT,Gruenland,487892"
49.852475900000002,8.578020900000000,18.03.2026,Griesheimer Sand,TrackIT,Sonstiges,431936
50.836949099999998,8.253622999999999,26.02.2026,Hauberge bei Haiger,TrackIT,Nadelwald,481990
49.867282000000003,8.476826200000000,10.03.2026,Hessische Altneckarschlingen,TrackIT,Sonstiges,438294
"50.480260000000001,9.971140000000000,""05.03.2026"",Hessische Rhön 02,TrackIT,Gruenland,620868"
"50.661029999999997,9.828120000000000,""05.03.2026"",Hessische Rhön 01,TrackIT,Mischwald,487353"
49.838288900000002,8.397897400000000,16.03.2026,Hessisches Ried mit Kühkopf-Knoblochsaue,TrackIT,Siedlung,53291
"51.071457000000002,8.619731300000000,""03.03.2026"",Hessisches Rothaargebirge 02,TrackIT,Laubwald,537161"
"50.969702699999999,8.608578100000004,""03.03.2026"",Hessisches Rothaargebirge 01,TrackIT,Nadelwald,449414"
51.285508900000004,9.376182900000000,26.03.2026,Hirzstein bei Kassel,TrackIT,Laubwald,620391
50.610815600000002,8.200535600000000,25.02.2026,Hoher Westerwald,TrackIT,Gruenland,481711
50.649193400000001,8.353910000000004,27.02.2026,Hörre bei Herborn und Lemptal,TrackIT,Laubwald,482211
49.949300000000001,8.974309999999999,23.04.2026,In den Rödern bei Badenhausen,TrackIT,Sonstiges,53256
50.040610000000001,8.177120000000000,27.04.2026,Inselrhein,TrackIT,Sonstiges,432431
